,ROLL NO.,MCS401,M401,CS401,CS402,CS403,HU481,M(CS)491 /MCS491,CS491,CS492,CS493,SGPA3,SGPA4,YGPA,DGPA,RESULT
,11500110010,B (14),C (24),C (18),C (24),B (28),E (18),A (8),A (16),E (18),E (18),6.72,7.15,6.93,0,P
,11500110028,B (14),B (28),C (18),C (24),C (24),O (20),E (9),A (16),E (18),O (20),6.97,7.35,7.15,0,P
,11500110037,C (12),A (32),C (18),C (24),C (24),O (20),B (7),C (12),A (16),E (18),7.17,7.04,7.11,0,P
,11500110084,C (12),C (24),F (6),B (28),D (20),A (16),A (8),C (12),A (16),A (16),6.41,6.08,6.25,0,XP
,11500110089,A (16),B (28),D (15),B (28),C (24),B (14),E (9),E (18),E (18),A (16),6.45,7.15,6.78,0,P
,11500110094,C (12),D (20),D (15),C (24),C (24),B (14),A (8),B (14),E (18),E (18),6.24,6.42,6.33,0,P
,11500110112,B (14),B (28),C (18),B (28),C (24),E (18),B (7),O (20),A (16),A (16),7.38,7.27,7.33,0,P
,11500110116,B (14),C (24),B (21),C (24),B (28),E (18),E (9),B (14),O (20),O (20),7.28,7.38,7.33,0,P
,11500110120,C (12),C (24),C (18),C (24),D (20),A (16),A (8),B (14),E (18),O (20),6.72,6.69,6.71,0,P
,11500111001,A (16),B (28),B (21),C (24),B (28),O (20),A (8),E (18),O (20),O (20),8.52,7.81,8.18,0,P
,11500111002,A (16),B (28),C (18),D (20),C (24),O (20),E (9),E (18),B (14),O (20),7.93,7.19,7.58,0,P
,11500111003,A (16),B (28),C (18),F (8),D (20),A (16),A (8),B (14),B (14),A (16),6.79,6.08,6.45,0,XP
,11500111004,E (18),B (28),B (21),D (20),C (24),B (14),A (8),E (18),B (14),O (20),7.48,7.12,7.31,0,P
,11500111005,E (18),C (24),B (21),B (28),B (28),A (16),E (9),A (16),E (18),O (20),7.48,7.62,7.55,0,P
,11500111006,E (18),A (32),B (21),C (24),B (28),E (18),E (9),A (16),E (18),O (20),8.03,7.85,7.95,0,P
,11500111007,E (18),B (28),B (21),B (28),A (32),E (18),O (10),O (20),O (20),O (20),7.9,8.27,8.07,0,P
,11500111008,E (18),C (24),B (21),C (24),A (32),O (20),E (9),A (16),O (20),O (20),8.31,7.85,8.09,0,P
,11500111009,E (18),A (32),B (21),B (28),A (32),A (16),O (10),O (20),O (20),O (20),8.55,8.35,8.45,0,P
,11500111010,E (18),A (32),C (18),D (20),C (24),E (18),A (8),E (18),O (20),O (20),7.72,7.54,7.64,0,P
,11500111011,C (12),B (28),B (21),D (20),B (28),E (18),A (8),E (18),E (18),O (20),6.97,7.35,7.15,0,P
,11500111013,O (20),E (36),E (27),A (32),A (32),O (20),O (10),E (18),O (20),O (20),9.07,9.04,9.05,0,P
,11500111014,A (16),A (32),A (24),F (8),B (28),E (18),E (9),E (18),E (18),E (18),7.34,7.27,7.31,0,XP
,11500111015,B (14),E (36),B (21),C (24),B (28),E (18),A (8),E (18),E (18),O (20),8.14,7.88,8.02,0,P
,11500111016,E (18),A (32),A (24),C (24),C (24),O (20),O (10),O (20),O (20),O (20),8.24,8.15,8.2,0,P
,11500111017,A (16),B (28),B (21),F (8),C (24),B (14),B (7),E (18),E (18),O (20),7.38,6.69,7.05,0,XP
,11500111018,A (16),B (28),A (24),D (20),C (24),O (20),A (8),O (20),E (18),O (20),7.24,7.62,7.42,0,P
,11500111019,E (18),E (36),C (18),C (24),F (8),A (16),E (9),A (16),A (16),A (16),6.72,6.81,6.76,0,XP
,11500111020,I (4),I (8),I (6),I (8),I (8),C (12),B (7),I (4),I (4),I (4),4.21,2.5,3.4,0,X
,11500111022,E (18),A (32),A (24),C (24),C (24),E (18),E (9),E (18),E (18),O (20),7.9,7.88,7.89,0,P
,11500111023,A (16),B (28),A (24),C (24),B (28),A (16),A (8),A (16),E (18),O (20),7.59,7.62,7.6,0,P
,11500111024,E (18),E (36),A (24),D (20),D (20),O (20),A (8),E (18),B (14),E (18),7.72,7.54,7.64,0,P
,11500111025,O (20),A (32),A (24),C (24),B (28),O (20),O (10),E (18),O (20),O (20),8.62,8.31,8.47,0,P
,11500111026,E (18),A (32),B (21),C (24),C (24),B (14),B (7),A (16),E (18),E (18),6.97,7.38,7.16,0,P
,11500111027,O (20),A (32),E (27),A (32),A (32),E (18),O (10),O (20),O (20),O (20),8.97,8.88,8.93,0,P
,11500111029,E (18),C (24),B (21),C (24),F (8),B (14),A (8),E (18),A (16),O (20),7.07,6.58,6.84,0,XP
,11500111030,A (16),B (28),E (27),D (20),A (32),E (18),E (9),E (18),O (20),O (20),8.76,8,8.4,0,P
,11500111031,A (16),A (32),A (24),C (24),A (32),E (18),E (9),E (18),E (18),O (20),8.31,8.12,8.22,0,P
,11500111032,B (14),A (32),B (21),C (24),C (24),C (12),A (8),E (18),A (16),E (18),6.97,7.19,7.07,0,P
,11500111033,B (14),C (24),B (21),D (20),B (28),O (20),A (8),E (18),A (16),O (20),7.72,7.27,7.51,0,P
,11500111034,A (16),C (24),B (21),D (20),B (28),E (18),E (9),E (18),E (18),O (20),7.28,7.38,7.33,0,P
,11500111035,A (16),C (24),B (21),C (24),C (24),B (14),B (7),E (18),E (18),E (18),8.34,7.08,7.75,0,P
,11500111036,A (16),B (28),B (21),B (28),C (24),E (18),O (10),E (18),E (18),O (20),7.72,7.73,7.73,0,P
,11500111037,B (14),B (28),C (18),D (20),D (20),A (16),O (10),B (14),A (16),O (20),6.62,6.77,6.69,0,P
,11500111038,E (18),A (32),A (24),B (28),B (28),E (18),O (10),O (20),E (18),O (20),7.83,8.31,8.05,0,P
,11500111039,A (16),A (32),B (21),B (28),C (24),E (18),O (10),E (18),E (18),O (20),7.9,7.88,7.89,0,P
,11500111040,E (18),C (24),C (18),D (20),D (20),B (14),A (8),B (14),B (14),O (20),6.45,6.54,6.49,0,P
,11500111041,B (14),C (24),B (21),C (24),C (24),C (12),E (9),B (14),A (16),E (18),7.24,6.77,7.02,0,P
,11500111042,B (14),B (28),C (18),C (24),C (24),A (16),E (9),B (14),E (18),E (18),7.14,7.04,7.09,0,P
,11500111043,O (20),E (36),E (27),A (32),A (32),E (18),O (10),O (20),O (20),O (20),9.14,9.04,9.09,0,P
,11500111044,E (18),B (28),B (21),B (28),B (28),E (18),O (10),O (20),E (18),O (20),8,8.04,8.02,0,P
,11500111045,C (12),A (32),C (18),C (24),D (20),A (16),A (8),A (16),A (16),O (20),7.17,7,7.09,0,P
,11500111046,B (14),B (28),D (15),D (20),C (24),E (18),A (8),E (18),A (16),O (20),6.62,6.96,6.78,0,P
,11500111047,O (20),E (36),B (21),C (24),D (20),C (12),A (8),A (16),A (16),E (18),7.9,7.35,7.64,0,P
,11500111048,O (20),B (28),A (24),B (28),B (28),E (18),A (8),E (18),E (18),E (18),8.48,8,8.25,0,P
,11500111049,D (10),A (32),A (24),C (24),C (24),A (16),E (9),A (16),A (16),E (18),6.55,7.27,6.89,0,P
,11500111050,E (18),E (36),E (27),B (28),A (32),E (18),O (10),E (18),E (18),O (20),8.62,8.65,8.64,0,P
,11500111051,E (18),A (32),C (18),B (28),C (24),E (18),A (8),E (18),A (16),E (18),6.93,7.62,7.25,0,P
,11500111052,A (16),A (32),C (18),C (24),B (28),A (16),B (7),E (18),E (18),O (20),7.45,7.58,7.51,0,P
,11500111053,C (12),B (28),D (15),C (24),C (24),A (16),O (10),O (20),E (18),E (18),7.62,7.12,7.38,0,P
,11500111054,E (18),B (28),B (21),A (32),B (28),E (18),O (10),O (20),E (18),O (20),7.86,8.19,8.02,0,P
,11500111055,B (14),B (28),B (21),C (24),D (20),E (18),E (9),O (20),E (18),O (20),7.1,7.38,7.24,0,P
,11500111056,D (10),C (24),D (15),F (8),D (20),A (16),A (8),B (14),A (16),E (18),6.28,5.73,6.02,0,XP
,11500111057,A (16),A (32),A (24),A (32),B (28),E (18),E (9),O (20),O (20),E (18),7.97,8.35,8.15,0,P
